start	end	text
0	7220	Een speciale aflevering van Zimmerman & Space.
11220	12300	Welkom.
13300	18180	Deze aflevering van Zimmerman & Space is dusdanig slaapverwekkend...
18180	21320	dat u er goed aan doet deze niet te beluisteren...
21320	25000	terwijl u een voertuig bestuurt, een machine bedient...
25600	28080	of explosieven aan het mengen bent.
30000	31700	Zit of ligt u rustig?
32360	35160	Dan wensen wij, Meerte van der Drift...
35160	36360	en Hans Zimmerman...
36360	37920	u een ontspannen reis.
38320	39000	Een reis?
39200	42120	Nou ja, een denkbeeldige reis.
42220	45080	Een reis om helemaal rustig te worden.
45420	46060	Ah zo.
48320	51320	Kijk eens wat daar voor uw geestes oog staat.
52040	54260	Een ruimteschip met uw naam erop.
54260	62020	Dit is precies zo'n dag dat een mens even weg wil zijn van alle aardse gekte.
62140	63960	Intolerant of any kind of discipline.
64040	65000	Joachim en human.
65660	67360	We hebben nooit een go-to-lake.
67720	71260	Even geen gezeur aan het hoofd.
71820	75380	Geen vermoeiende mails, sociale media of nieuws.
75380	80840	Soms is het zo fijn om even alleen met onszelf opgeschreept te zijn.
82240	86780	En zo te zien is er niemand anders in dit ruimtevaartuig aanwezig.
87200	88820	Dus dat is wel een uitstekend begin.
92540	95540	U neemt plaats in de heerlijk zachte stoel...
95540	98200	die gemakkelijk meedraait als u erin neerploft.
99280	102040	Zou dit de contactsleutel zijn?
103260	104100	Nee dus.
104620	105860	Er gebeurt helemaal niets.
106480	106880	Dit dan?
109380	113560	Een prettig zoemend geluid vult de ruimte waarin u zit.
114500	119640	En enkele seconden later ziet u al dat u het aardse gedoe ver achter u heeft gelaten.
119640	126440	Uit het raam ziet u de aarde als een blauw-groene bal met wat volken- en watermassa's.
127620	131500	In rap tempo wordt de aarde kleiner en kleiner en kleiner en kleiner.
133100	136640	Als u destijds beter had opgelet bij topografie...
137220	139260	wist u nu wat die landmassa daar...
139260	141320	Nou, het doet er ook niet toe.
142620	145420	Dit is immers uw moment.
145420	150700	En daar zweeft u door de diepte van de ruimte...
150700	154300	omringd door eindeloos veel sterren, kosmische nevels...
154300	156540	en allerlei deeltjes die u niet kunt zien.
160700	164160	Met elke ademhaling voelt u zich lichter worden.
165100	167940	Zwevend als een veertje door de kosmische winden.
168560	170720	Of nou ja, kosmische winden.
171160	173260	Het waait natuurlijk niet in de kosmos.
173260	176740	Wat we zonnewind noemen...
176740	179740	is in werkelijkheid een stroom van geladen deeltjes...
179740	184360	die met een snelheid van tussen de 400 en 800 kilometer per seconde...
184360	186000	door de lege ruimte schieten.
187400	191380	Nog steeds niet echt een briesje om het raam voor open te zetten...
191380	194540	want deze deeltjes zijn heel ongezond voor een mensenlichaam...
195220	198220	vooral als ze met zo'n rotgang tegen u aanschieten.
198220	201940	Als u niet al direct zou sterven bij het openen van het raam...
201940	204040	door het wegvallen van de luchtdruk natuurlijk.
205100	207580	Het raam blijft dus voorlopig maar even dicht.
209920	213460	Voor u op het dashboard zit een klein deurtje in dit ruimteschip.
214700	217160	U pulkt eraan en het valt open.
218440	220720	Gelukkig, de luchtdruk blijft normaal.
220720	226240	U voelt voorzichtig in het vak en opeens heeft u een foto in uw hand.
227380	229140	Het is een zwart-wit foto.
230040	231240	Van Margaret Hamilton?
232700	235360	Ze staat naast een immense stapel papier.
