start	end	text
0	4000	U luistert naar Zimmerman & Space.
30000	31800	Uiteraard doen waar we zin in hebben.
34640	42000	Dus laat ons voor een keer doen alsof er buiten een immens pak sneeuw ligt met daarboven een kraakheldere sterrenhemel.
43340	52580	Met stevige wandelschoenen en dik ingepakt verlaten we de kerstgekte voor een moment om buiten te aanschouwen wat het heelal ons nog meer te bieden heeft.
52580	60060	Daar in het zuid-zuidoosten staat uiteraard rond deze tijd van het jaar dat mooie sterrenbeeld Orion.
61220	70380	Maar voor Tebby's ster moeten we onze aandacht richten naar de noordwestelijke horizon waar sterrenbeeld de Zwaan, Cygnus, aan het ondergaan is.
71340	74720	De Zwaan is dan ook meer een sterrenbeeld om in augustus op te zoeken.
75460	79960	Dan staat dit sterrenbeeld zo rond 10 of 11 uur s'avonds hoog in het zuiden.
79960	85620	De ster waar we het vandaag maar weer eens over gaan hebben staat in dat sterrenbeeld de Zwaan.
86340	87460	Tebby's star.
88060	90560	Ook wel Boyerian star genoemd.
91860	98260	Wie op dit moment warm binnen zit met een kerstdrankje en deze ster in stellarium op de computer probeert te zoeken,
98400	101880	kan het beste zoeken naar de GuideStar catalog aanduiding.
102880	107120	GSC 03162 00665
107120	110460	Wat was ook alweer Tebby's star?
111220	119160	De inmiddels afgeschreven Kepler-ruimtetelescoop keek gedurende bijna 10 jaar naar een vast gebied aan onze sterrenhemel.
119920	124540	Dit gebied omvatte delen van de sterrenbeelden Zwaan, Lier en Draak.
124540	131520	In dit gebied aan de hemel keek de Kepler-telescoop naar 530.506 sterren,
131620	137120	waardoor 2778 exoplaneetontdekkingen konden worden bevestigd.
138080	145600	De missiegegevens van Kepler werden deels beschikbaar gemaakt voor burgerwetenschappers in het Planet Hunters project.
145600	156480	In deze zoektocht door vrijwilligers dook een vreemd object op dat in de Kepler-input-catalogue staat als KIC 8462852.
157480	161460	Het is een op zich onschuldig F-type hoofdreekssterretje.
161460	167780	Met een magnitude van 11.7 kunnen wij die met het ongewapende oog niet waarnemen,
167960	174100	maar in een forse telescoop onder uiterst gunstige omstandigheden valt Debbie's ster nog wel te vinden.
174880	177100	Dan zien we er nog niets vreemds aan.
177800	181580	Pas als we de helderheid van deze ster over de tijd aanschouwen,
181800	186200	blijkt dat Debbie's ster van tijd tot tijd ernstige schommelingen vertoont.
186200	195120	De vrijwilligers van Planet Hunters zagen een dip van 22% in helderheid in de lichtcurve van de Kepler-ruimtetelescoop.
195800	200860	Tot op heden zien astronomen grillige schommelingen in de helderheid van Debbie's ster.
201240	205860	En ook in de historische gegevens, al zijn die niet altijd even betrouwbaar,
206720	210940	worden anomalieën aangetroffen omtrent de helderheid van Debbie's ster.
210940	217080	Sindsdien is er van alles geschreven en gespeculeerd over deze helderheid schommelingen.
217700	224260	Een zwerm van kometen, ringen van stof, gedesintegreerde planeten, et cetera.
225140	228920	Maar eigenlijk weet niemand precies wat er met deze ster aan de hand is.
230080	235680	Toch kunnen we er in deze kerstige aflevering nog wel drie dingen over zeggen die redelijk uniek zijn.
235680	241100	Het eerste ding is het meest onzeker, maar wel in zekere zin opwindend.
241720	248000	Wat in de historische gegevens gezien wordt, is dat Debbie's ster behalve de vreemde schommelingen
248000	252620	ook over de langere periode langzaam zakt in helderheid.
253380	257680	Dit nu is niet het typische gedrag van een F-type hoofdreeksster.
258480	263780	Het moeilijke aan dit gegeven is dat het gebaseerd is op onzekere historische gegevens.
263780	271560	Dus we kunnen zeggen, of het is gewoon niet waar en Debbie's ster is over de grote linie constant in helderheid,
271780	274000	en dat konden ze vroeger nog niet goed meten,
274520	279840	of iets vreet energie weg van de ster op een wijze die ons nog niet bekend is.
280460	285540	Het tweede interessante ding is dat de hoofdonderzoeker naar wie de ster genoemd is,
285760	289440	astronoom Debbie Bayer-Jan, van geen ophouden weet.
289440	295720	Van haar hand is ook de website Where's the Flux, waarnaar u een link vindt in de show notes.
296460	300260	Maar dat is natuurlijk niet het interessante ding omtrent Debbie's ster.
301380	307220	Samen met collega-astronomen Massimo Stiavelli, Thomas Beattie en Jason Wright,
307440	313440	diende Tabeta Bayer-Jan een aanvraag in voor waarneemtijd met de James Webb ruimtetelescoop
313440	315840	om nog eens beter naar dit object te kijken.
316720	321420	Dat was op 8 mei van dit jaar en de JWST-aanvraag kreeg de aanduiding
321420	333440	In hun aanvraag stellen de astronomen voor om met de Neerspec en Miri-instrumenten
333440	339460	van de James Webb ruimtetelescoop spectra waar te nemen in het infrarode bereik.
340020	344420	En nog spannender, de aanvraag is gehonoreerd en de waarnemingen zijn al gedaan.
345160	351340	Het statusrapport kunnen we gewoon opvragen en dan zien we dat er 9 observaties zijn uitgevoerd,
351540	356680	respectievelijk op 21 juni, 14 juli en 5 augustus van dit jaar.
357500	360780	Op de uitkomst van het onderzoek moeten we helaas nog even wachten.
360780	366440	Dat zou wel het slechtste einde van een podcastaflevering in de geschiedenis zijn
366440	370120	en daarom is er ook nog een derde ding dat ik u niet wil onthouden.
371020	374940	In november 2021 verscheen het artikel
374940	391240	Van Edward Schmid, astronoom aan de Universiteit van Nebraska in de Verenigde Staten.
392080	398400	Schmid beschrijft in dit artikel dat het moeilijk is om zo'n vreemd object als Debbie's ster te kunnen begrijpen
398400	400980	met maar één exemplaar om te bestuderen.
400980	405820	En zo startte hij de zoektocht naar vergelijkbare objecten.
406680	414300	In 2020 begon Schmid hier al mee, maar het artikel uit 2021 beschrijft 15 kandidaat-objecten
414300	416640	met vergelijkbaar vreemde helderheidsschommelingen.
417960	424180	Hij noemt deze sterren slow dippers omdat ze tamelijk lange periodes van verduistering kennen.
424180	429200	Dat wijkt dus af van wat we gewend zijn van gewone variabele sterren.
430000	433680	Schmid gebruikte twee catalogie voor zijn onderzoek.
434420	438240	De Northern Sky Variable Survey of NSVS
438240	444540	en de All Sky Automated Survey for Supernovae of ASASSN.
444540	449540	Van de 15 sterren die vergelijkbaar gillig gedrag in helderheid vertonen,
450240	455500	bleek dat ze opmerkelijk dicht bij elkaar liggen in het zogenaamde hertsprong-Russel-diagram.
455700	456740	Heb je een vertaling?
456900	460560	Dat kunnen we vertalen als dat deze sterren vergelijkbaar zijn
460560	464600	voor wat betreft hun spectraalklasse en evolutionaire pad.
465460	467640	Maar er was nog iets anders aan de hand.
467640	474360	9 van deze 15 sterren liggen opvallend dicht in de buurt van Tebby's ster.
475140	478500	Dat wil zeggen dat ze ongeveer op hetzelfde punt aan de hemel staan,
478760	482780	op dezelfde afstand bij elkaar in de buurt daar in het sterrenbeeld te zwaan.
483600	487160	Schmid zegt in zijn artikel, en ik vertaal het maar even voor u,
488440	493680	aangezien er nog geen bevredigende verklaring is gevonden voor het gedrag van Tebby's ster,
493940	497520	en daarom ook niet voor de vergelijkbare kandidaat in dit artikel,
497880	501940	is het voorbarig om te proberen het bestaan van het cluster te verklaren.
502700	508300	Echter, de mogelijkheid dat buitenaardse beschavingen interstellaire reizen hebben ontwikkeld
508300	512760	en zich hebben uitgebreid buiten hun oorspronkelijke planetaire systemen,
512940	517460	is breed besproken in verband met de zoektocht naar buitenaardse intelligentie,
517780	520180	bijvoorbeeld in verband met de Fermi-paradox.
520880	527260	Als dit daadwerkelijk mogelijk is, zou het kunnen leiden tot een cluster van sterren met bewoonbare planeten
527260	529800	over een uitgebreid gebied van de ruimte.
530460	537420	Astronoom Fila Roel en collega's, die een zoektocht beschreven naar sterren met ongebruikelijk fotometrisch gedrag,
537680	538320	merkten op,
538320	546680	Als een regio aan de hemel de neiging heeft om een onverwacht groot aantal kandidaten te produceren in vergelijking met de achtergrond,
546880	552640	verdient deze regio, of hotspot, mogelijk extra aandacht met betrekking tot SETI,
552920	555800	de zoektocht naar buitenaardse civilisaties.
556560	563260	Met deze overwegingen in gedachten stel ik voor dat de dippers in het cluster en andere sterren in dezelfde regio
563260	566400	geschikte doelen zouden zijn voor SETI onderzoeken.
570200	575660	Dit hele cluster van vreemde sterren staat op zo'n 1500 lichtjaar van ons vandaan.
576120	579260	Dus daarmee kijken we ook 1500 jaar in het verleden.
579860	585180	Ik ben heel benieuwd wat Debbie en collega's zelf aantreffen in de James Webb-waarnemingen.
585940	589260	Dit jaar gaan we het niet meer horen, denk ik, want het is bijna voorbij.
589260	595020	Als er volgend jaar iets te vertellen valt over Debbie's star, dan hoort u het hier waarschijnlijk als eerste.
595680	598260	Hopelijk blijft u ook volgend jaar luisteren naar deze podcast,
598980	605560	maar als u liever een terrasje uitzoekt en een Pan Galactic Gargle Blaster bestelt, dan geef ik u geen ongelijk.
606120	613860	Voor nu een heel fijne kerst en dat 2024 maar wat meer in de richting mag gaan van de poster met de duif die op ons raam hangt
613860	615860	en waar Peace Now op staat.
615860	621940	Ik ga maar weer naar binnen uit de virtuele sneeuw en de ongure wind die is gaan waaien.
623740	625240	Tot de volgende keer.
625240	635240	MUZIEK
635240	645240	MUZIEK
645240	655240	MUZIEK
655240	665240	MUZIEK
665240	667240	MUZIEK
667240	669240	MUZIEK
669240	683240	MUZIEK
683240	685240	MUZIEK
685240	687240	MUZIEK
687240	689240	MUZIEK
689240	709240	MUZIEK
