start	end	text
720	4880	Vorige keer eindigden we met een beetje een cliffhanger toen ik zei
4880	9380	tot de volgende keer waarin we het over een nog groter raadsel gaan hebben.
10780	13560	En misschien had u het eerder dit jaar zelf al gelezen.
14260	19380	Bepaalde foto's die de James Webb ruimtetelescoop van ons prille helal heeft gemaakt
19380	24820	gooien ons huidige model van de evolutie van het helal sinds de oerknal ernstig in de war.
24820	31820	Laten we vandaag samen eens kijken hoe dat zit en wat voor zinnigs we erover kunnen beweren
32420	36040	zonder onszelf in onze wetenschappelijke voeten te schieten.
39100	41980	De onrust ontstond door het artikel
41980	52900	van Yves Labe en collega's dat in februari van dit jaar in Nature verscheen.
52900	59320	Rode massieve sterrenstelsels waren gezien op een foto van de James Webb ruimtetelescoop
59320	66120	waarbij zo ver terug in de tijd werd gekeken dat de objecten op de foto slechts 500 tot 700 miljoen
66120	68340	jaar na de oerknal oud konden zijn.
68500	69540	Dat was een lange zin.
69860	74480	Dat we zo ver terug kunnen kijken in de tijd is natuurlijk zeer verheugend want dat zegt
74480	77520	ons hoe goed die James Webb telescoop functioneert.
77640	77900	Jee!
77900	83060	Het probleem zit hem in die twee bijvoeglijke naamwoorden, rood en massief.
84480	87340	Hoe dat zit zullen we zo uit en tena bespreken.
87440	87980	Dat is goed.
88240	91620	Eerst kijken we maar eens wat voor foto dit eigenlijk is.
92500	97100	Onderdeel van de wetenschap die met de James Webb ruimtetelescoop bedreven wordt heet
97100	104000	SEARS, C-E-E-R-S, wat staat voor Cosmic Evolution Early Release Science.
104000	111400	Als eerste test in dit programma werden enkele foto's gemaakt met de Near Infrared of NearCam
111400	113120	camera van de JWST.
114160	118660	Specifiek werd gekeken in de band van 1 tot 5 micrometer infrarood.
119100	124480	De foto's werden digitaal gecombineerd en het resulterende frame omvat een stukje aan
124480	127820	de hemel van ongeveer 40 boogminuten in het kwadraat.
128440	130840	Het is een oppervlakte, vandaar een kwadraat.
130960	132200	O ja, inderdaad.
132200	136840	Het was feitelijk maar een testfoto in een relatief leeg stuk van de hemel wat al wel
136840	139600	door de Hubble ruimtetelescoop was gefotografeerd.
140160	147980	In de James Webb foto is veel meer zichtbaar dan op de Hubble foto in totaal 42.729 objecten.
148600	155140	In deze catalogus van objecten werden 13 sterrenstelsels aangetroffen waarvan 6 met een massa van meer dan
155140	157440	10 tot en mag 10 keer die van onze zon.
157440	161780	En een van die sterrenstelsels is zelfs nog eens 10 keer zwaarder.
162140	166700	Dus dat wordt vergelijkbaar met onze eigen 13,8 miljard jaar oude melkweg.
166840	170300	Dat moet wel een verbijsterende conclusie geweest zijn.
170640	172100	Dus zie hier het dilemma.
172100	183380	Het bestaande model van sterevolutie in de geschiedenis van ons heelal sluit uit dat er zo'n zwaar melkwegstelsel zo snel na de oerknal zou kunnen bestaan.
183700	186820	Laat staan zes van die te zware sterrenstelsels.
186820	193680	Er zou simpelweg niet genoeg tijd zijn verstreken om zoveel sterren tot vastom te kunnen laten komen.
193980	203400	Of anders gesteld, er was op dat moment op die locaties niet genoeg baryonische massa aanwezig om zoveel dusdanig zware sterren te kunnen kweken.
203520	204540	Oh, dat is niet best.
204540	213240	En toch, op de foto zien we zes sterrenstelsels op wat een redelijk willekeurige eerste foto is die deze hypothese in de wielen rijden.
214060	220380	Daar komt nog eens bij dat de sterren in deze sterrenstelsels uit de begindagen van ons heelal veel te rood lijken te zijn.
220560	222240	Wat is dit voor vaag verhaal, Hens?
222240	229340	Met wat we weten over sterevolutie zou het veel meer voor de hand liggen dat de sterren in kwestie overwegend blauw zouden zijn.
229340	238340	Toen deze ontdekking eerder dit jaar in het nieuws kwam, had de collectieve wijsheid die het internet heet uiteraard de mond vol van verklaringen.
239000	239580	Oh dear.
239900	243600	Zo las ik dat de oerknal dus nooit zou kunnen hebben plaatsgevonden.
244980	251280	Dat astronomie in een crisis terecht was gekomen waar deze eeuwenoude wetenschap nooit meer uit zou komen.
252340	256660	En natuurlijk zie je wel, wetenschap heeft de antwoorden ook niet, et cetera.
259340	266020	In zekere zin is het prettig, vind ik tenminste, dat ik even heb gewacht met deze aflevering,
266100	272820	want inmiddels zijn er enkele maanden verstreken en hebben astronomen de kans gehad om er nog eens wat langer over na te denken.
273820	280660	Wat we in de rest van deze aflevering zullen bespreken zal hopelijk uw vertrouwen in de astronomische modellen weer wat verstevigen
280660	284220	en bovendien enkele vragen beantwoorden die u misschien heeft.
284220	292680	Is het hele oerknalmodel daadwerkelijk in een crisis beland na deze ontdekking en moeten wetenschappers zich massaal laten omscholen?
292800	293040	Oh ja?
293260	294380	Nee, natuurlijk niet.
294500	295400	Oh, gelukkig!
295620	297900	Dit is in grote lijnen wat wetenschap is.
298440	303980	Een aanpassing aan de gevestigde theorieën die oude en nieuwe waarnemingen vervolgens kan verklaren.
304820	308220	Het huidige model van ons heelal heet Lambda-CDM.
308220	313340	En een eventuele aanpassing zal hoogstwaarschijnlijk in dat model moeten plaatsvinden.
314340	316500	En wat betekent Lambda-CDM?
