start	end	text
0	3920	Television. An unparalleled blending of science and art.
4520	7400	U luistert naar Zimmerman & Space.
8320	10500	Tijdkristallen. Time crystals.
12060	20600	Laten we in deze verheugende alweer vijftigste aflevering van deze podcast eens kijken wat tijdkristallen hun naam geeft.
21460	26540	Voordat we ons daaraan wagen, zullen we eerst een ander begrip helder proberen te krijgen.
26540	30220	Zero Point Energy of ZPE.
31280	40800	Bij de klassieke natuurkunde leerde u misschien ooit dat bij een temperatuur van 0 Kelvin, ook wel het absolute nulpunt genoemd, atomen stilstaan.
41900	46480	Ook leerde u dan misschien dat het onmogelijk kouder kan zijn dan 0 Kelvin.
46940	52540	Maar de klassieke natuurkunde is inmiddels voor een deel ingehaald door de kwantenmechanica.
53360	55620	En dat betekent dat we nieuwe inzichten hebben.
55620	58860	Ook op het gebied van het absolute nulpunt.
59620	69140	We weten nu dat elk kwantummechanisch systeem, dus elk deeltje en zelfs het vacuüm tussen deeltjes, een zekere vibratie blijft kennen.
70180	76380	Met andere woorden, ook bij het absolute nulpunt bibberen atomen nog een heel klein beetje.
77240	82980	Zero Point Energy is daarmee het laagste energieniveau dat een kwantumsysteem kan hebben.
82980	85780	Per definitie is dat niet 0.
86360	90760	En die definitie heet ook al het Heisenberg-onzekerheidsprincipe.
91380	97900	De volgende zeepbel die we door kunnen prikken is dat 0 Kelvin de laagst mogelijke temperatuur is.
97900	103260	Temperaturen onder de 0 Kelvin noemen we negatieve temperaturen.
103340	106240	En deze zijn experimenteel al vastgesteld.
107140	113380	Purcell en Pound publiceerden hun bevindingen met betrekking tot negatieve temperatuur in hun artikel.
113520	120380	Een ander experiment van Simon Brown wordt beschreven in het artikel.
120380	129820	Negatieve temperatuur noemen we dan een toestand waarbij de temperatuur onder de 0 Kelvin komt.
129980	136440	Dat is wat anders dan dat het buiten vriest, want dan is de temperatuur onder de 0 graden Celsius.
137440	141320	Dit eviteert toelichting en belediging van velen van u.
141320	149380	We hebben het bij negatieve temperatuur wel over kunstmatig opgewekte omstandigheden en heel bijzondere gassen.
150200	153280	Niet een stand van uw toekomstige vrieskist dus.
154360	162320	Professor dokter ingenieur Paul van der Schoot, universitair docent bij de vakgroep Theory of Polymers en Soft Matter...
162320	169320	aan de faculteit Technische Natuurkunde en deeltijd hoogleraar Theoretische Natuurkunde aan de Universiteit Utrecht...
169320	171320	schrijft hierover in 2013...
171320	177500	Er zijn de afgelopen jaren wel vaker temperaturen onder het absolute nulpunt gemeten...
177500	183520	maar een groep Duitse wetenschappers laat nu zien dat de negatieve temperatuur thermostabiel is.
184280	189460	Dat is dus wel een noviteit en belangrijk, want zo leren we meer over temperatuur.
189460	196460	Om het nog gekker te maken zijn atomen die in een toestand van negatieve temperatuur verkeren...
197060	199700	weer warmer dan atomen bij nul Kelvin.
200460	208640	Om het nog gekker te maken zijn atomen die in een toestand van negatieve temperatuur verkeren...
208640	211340	weer warmer dan atomen bij nul Kelvin.
213220	217460	Dat heeft te maken met het feit dat temperatuur, energie en entropie...
217460	219520	sterk met elkaar verbonden zijn.
220140	224580	En entropie, dat is de mate van wanorde van een systeem.
225580	229960	Dat is in de verhandeling van deze aflevering een belangrijk begrip...
229960	233460	want precies die wanorde speelt een grote rol bij tijdkristallen.
235680	238320	Maar laten we eerst eens beginnen bij het begin.
239040	241420	Wat verstaan we onder een tijdkristal?
241420	248600	Het idee stond al uit 2012, toen het werd geopperd door de natuurkundige Frank Wilczek.
249180	254260	Op dat moment waren tijdkristallen alleen nog maar een theoretisch gedachte-experiment.
255220	259420	Die naam tijdkristal is naar analogie van een regulier kristal...
259420	262540	zoals bijvoorbeeld ijskristallen, kwarts of pirit.
262540	267100	Dergelijke kristallen worden gevormd door een regelmatige...
267100	271000	drie-dimensionale ordening van atomen, moleculen of ionen.
271660	276180	Een vereiste voor zo'n kristalstructuur is een zekere zuiverheid.
276820	281800	Dan kunnen de atomen, moleculen of ionen uiterst regelmatig gerangschikt raken.
282720	285680	U kunt dat misschien vergelijken met een bak vol knikkers.
285680	288700	Als alle knikkers dezelfde grootte hebben...
288700	294360	dan ziet u voor uw geestesoog misschien wel hoe deze in een keurige raster terecht kunnen komen...
294360	297460	waarbij de knikkers precies hetzelfde geordend liggen.
298260	302900	Elke knikker heeft zes buren die precies in een rondje om de andere knikkers liggen.
303380	305380	Behalve de knikkers aan de rand natuurlijk.
306100	310200	Maar goed, stel nu dat er wat grotere knikkers tussen liggen...
310200	314440	dan verpesten die de mogelijkheid om een identiek raster van knikkers te maken.
314440	317680	Zo zit het dus ook met reguliere kristallen.
317780	319060	Ja, ja, nu begrijpen we het wel.
319360	321440	Doorgaans zijn kristallen vaste stoffen...
322160	324540	maar er bestaat ook zoiets als vloeibaar kristal.
326640	327440	Even samenvatten.
328660	333140	Reguliere kristallen hebben een regelmatige structuur in ruimtelijke zin.
334540	336440	Tijdkristallen, zo veronderstelde wielcheck...
337180	339840	hebben een regelmatige structuur over de tijd.
341120	342440	Dit behoeft misschien wat verduidelijking.
342440	343440	Ja.
343860	347060	Want als ik nu een smurf voor mij op tafel leg...
347060	351260	dan heeft die toch ook een zekere regelmatige structuur over de tijd?
351820	355560	Van het ene moment op het andere ziet de smurf er toch identiek uit?
356360	359620	Maar dan komen we weer terug bij het begin van onze discussie.
359740	359960	Ah.
360380	361620	Of nou ja, discussie.
361780	365800	Mijn monoloog die u nu beluistert om lekker bij een slaap te kunnen vallen.
365800	369620	Die smurf die voor mij op tafel ligt...
369620	373100	is op macroscopisch niveau dan wel een ruimtelijke structuur...
373100	374920	die in de tijd niet lijkt te veranderen...
374920	378980	maar helemaal stil staat onze smurf op microscopisch niveau niet.
379560	381940	Sterker nog, ik bibber als een gek.
382300	385660	De smurf verkeert in een staat van thermisch evenwicht.
386220	390920	Dat betekent dat er op elk moment willekeurige bewegingen plaatsvinden in de atomen...
390920	392760	waaruit de smurf is opgebouwd.
393720	397780	Zelfs als we de smurf zouden afkoeden tot het absolute nulpunt...
397780	400820	zouden de atomen nog willekeurige bewegingen vertonen.
401640	404580	Geen zaken waar we hinder van ondervinden, maar toch.
405640	409000	Deze willekeurige trillingen van atomen noemen we ook wel...
409000	411880	Continuous Time Translation Symmetrie.
412020	413500	Mag het in het Nederlands?
413940	416580	Continue Tijdvertalingssymmetrie.
416760	419060	Ik weet niet of het daar echt duidelijker van wordt.
419060	423000	Hieruit volgt een belangrijke eigenschap van de natuur om ons heen...
423000	426480	namelijk dat de natuurkundige wetten waar wij zo op gesteld zijn...
426480	428300	niet veranderen door de tijd heen.
428420	429020	Heel interessant.
429340	432720	Wat het ene moment geldt, geldt het volgende moment nog steeds.
435240	439800	Het statistisch gemiddelde van al die willekeurige trillingen in atomen...
439800	440980	is steeds hetzelfde.
441820	444060	Bij de tijdkristallen die Wilczek opperden...
444680	445940	is dit niet het geval.
445940	450780	Hier hebben we een soort materie die varieert over de tijd...
450780	453360	van de ene ordening naar de andere en weer terug...
454380	457100	zonder dat er energie bij nodig is.
457100	459720	Zonder dat er energie bij nodig is.
462200	466640	Tijdkristallen breken hierbij de Continuous Time Translation Symmetrie.
467080	470420	We hebben dus over een stof die heen en weer beweegt...
470420	475040	oscilleert door de tijd zonder toevoer van energie van buitenaf.
475100	476600	Dat kan je je toch niet voorstellen?
476960	481460	Er was wel commentaar op deze door Wilczek veronderstelde vorm van materie.
482280	485260	In 2015 verscheen een artikel met de titel...
485260	487260	Absence of quantum timecrystals.
487260	491180	Dat Wilczek's idee van tijdkristallen naar de prullenbak verwees.
491680	495580	Maar natuurkundige normen jouw kwam met weer een nieuw idee.
495580	498380	Timecrystals in periodically driven systems.
498380	504180	Het idee van jou is dat u een tijdkristal met externe energie op gang mag helpen...
504180	505500	om te beginnen te trillen.
506720	509220	Daarna stopt u de energietoevoer...
509220	513020	en blijft het kristal heen en weer trillen zonder energie te verbruiken.
514040	516140	Een laser is dan bijvoorbeeld het apparaat...
516140	520040	waarmee de materie gedwongen kan worden om te veranderen in een tijdkristal.
520420	522420	Of misschien moeten we het beter zeggen...
522420	527240	waarmee de materie gedwongen wordt de eigenschappen van een tijdkristal aan te nemen.
528380	534580	In 2016 werd experimenteel aangetoond dat jouw suggestie correct is.
535580	539920	Aan de Universiteit van Maryland lukte het Chris Monroe en zijn team...
539920	543220	om een tijdkristal te bouwen met etherbium-ionen...
543220	545480	die met een laser aan het trillen werden gebracht.
546440	549380	Etherbium is het element met atoom nummer 70.
549760	552220	Interessant, maar wel een beetje nerderig.
552220	556060	Michael Lukin van de Harvard Universiteit en zijn team...
556060	558420	bouwde onafhankelijk daarvan een werkend tijdkristal...
559260	564200	door stikstofverontreinigingen in een diamant met microgolven in beweging te zetten.
565180	567480	Aangezien een diamant ook een kristal is...
567480	571460	was hier dus sprake van een tijdkristal in een ruimtekristal.
573420	577240	U vraagt zich misschien af wat we hier in vredesnaam aan hebben.
577240	580000	Ja, dat is wel een hele interessante vraag.
580220	585320	Maar tijdkristallen lijken een goede toepassing te zijn voor opslag van informatie...
585320	587200	met name in quantumcomputers.
587840	593280	Een tijdkristal dat robuust over de tijd in een bepaalde staat kan worden gehouden...
593280	597240	is dan in zekere zin te vergelijken met een elektronische flipflop...
597660	599320	een transistorschakelaar.
600000	605400	Als iemand een eeuw geleden over halfgeleiders en transistoren was begonnen tegen u...
605400	607560	had u misschien ook gedacht, wat heb ik hier aan.
608100	610800	Maar nu lopen we allemaal rond met mobiele telefoons...
610800	613360	waar een paar miljard flipflops hun best doen...
613360	617140	zodat wij memes kunnen delen of de stemwijzer kunnen invullen.
618060	621540	Wellicht hebben de computers van de toekomst allemaal tijdkristallen...
621540	623540	als basisopslag-eenheden.
