start	end	text
260	3640	U luistert naar Zimmerman & Space.
4280	10160	Het is alweer een flinke tijd geleden dat we in deze podcast samen luisterden naar ruimtegeluiden.
11200	16160	Inmiddels heb ik weer een aantal mooie nieuwe en oude sonificaties voor u gevonden.
16460	17880	Nou, blij om dat te horen.
18240	23440	Voordat we daarna gaan luisteren is het misschien wel aardig om te weten waar we eigenlijk naar luisteren.
24200	27660	Het achterliggende idee is in alle gevallen hetzelfde.
27660	35240	Iets wat voor ons in eerste instantie niet hoorbaar is, toch vertalen naar geluidsgolven die wel door ons gehoord kunnen worden.
35900	40040	Dat kan zijn door radiogolven te transcoderen naar geluidsgolven.
40800	43740	Maar we kunnen ook punten in een grafiek heel erg versnellen.
44220	53940	En ik heb ook een voorbeeld waarbij de pixels in een afbeelding van boven naar beneden omgezet worden in tonen die binnen een bepaalde diatonische toonladder vallen.
53940	57940	Dat laatste kan natuurlijk wel erg gefingeerd op ons overkomen.
58600	59420	Waar heb je het over?
59680	66780	Sowieso is het maar de vraag in hoeverre sonificaties überhaupt bijdragen aan de wetenschap zouden we kunnen denken.
67300	70220	Toch is die gedachte ook een beetje kort door de bocht.
71180	78240	Wetenschap, dat zelfregulerend orgaan van waarheidsvinding, wordt grotendeels betaald door u, de belastingbetaler.
78240	81500	Daar moet natuurlijk wel wat tegenover staan.
82280	85240	Uiteraard plukken we allemaal de vruchten van bijzondere uitvindingen.
86120	93600	Bijvoorbeeld sterke grondstoffen, elektronisch vernuft, medische doorbraken en het gebrek aan dijkdoorbraken.
95340	104000	En tussendoor mogen we zonder daar veel moeite voor te doen, genieten van adembenemend mooie foto's die met de nieuwste ruimtetelescopen genomen worden.
104000	107980	Maar wat nou als u niet of niet goed kunt zien?
108160	109660	Ja, dat is de vraag.
109880	118000	Liz Landau van NASA's Astrophysics Division van NASA Headquarters legt uit dat sonificaties in eerste instantie werden gemaakt...
118520	122000	om ook visueel beperkte mensen te laten meegenieten van ruimtefoto's.
123400	127700	Speciaal voor dit doel maakte NASA de documentaire Listen to the Universe.
128240	131420	Een link vindt u in het bijschrift van deze aflevering.
131420	134760	En er is nog iets aardigs aan sonificaties.
135400	141220	Alhoewel we het er in vergelijking met bepaalde diersoorten bekaait van afbrengen qua gehoor...
141220	145960	is ons geëvolueerde gehoor wel in staat patronen in de tijd te herkennen.
146800	150820	Patronen die ons in datatabellen of grafieken mogelijk zouden ontgaan.
151860	160200	Met deze toegegeven iets wat lange introductie zijn we gereed om naar wat mooie en soms ook spooky sonificaties te gaan luisteren.
160200	167580	We beginnen met wat sonificaties die redelijk recent zijn gemaakt op basis van onderzoek van de Parker Solar Probe.
168160	174500	Dit op 12 augustus 2018 gelanceerde ruimtevaartuig onderzoekt de zon van zeer dichtbij.
175360	180500	Aflevering 230 van Zimmerman In Space ging over de Parker Solar Probe.
