start	end	text
0	3720	Goedemorgen, Mars van de surface.
4320	8160	Het man's aangegeven droom van een dichterpunt op wat het is op een andere planeten,
8300	11320	en van het zoeken voor leven daar, is vandaag een realiteit.
11740	12840	En wat een realiteit.
13400	16080	Viking 1 had perfecte landen op de Martian surface,
16420	19520	en begon erin te verantwoorden, zo spektakulair,
19800	21480	dat zelfs project-scientisten waren erom.
21980	25700	Mijn eerste spreekbeurt ging over de Viking-landers op Mars.
26180	28320	Dat was in het najaar van 1976.
28320	33280	Dus ik zat net in wat toen de vierde klas van de lagere school heette.
33820	39700	Viking 1 was op 20 juli van dat jaar het eerste ruimteschip dat succesvol op Mars landde,
40100	42420	en ook nog foto's terug wist te sturen.
43160	45260	Jaren daarvoor, in 1971,
46060	51620	wist de Sovjet-Unie al een zachte landing op Mars te maken met het Mars 3-ruimtevaartuig,
51720	56500	maar het contact met het Mars 3 raakte al enkele seconden na de landing verloren.
56500	59980	Ik weet nog wel in 1976,
60380	64940	dat de meestal volstrekt zwart-witte krant die bij mijn ouders op de deurmat viel,
65120	69320	de Mars-foto van de Viking-lander ook in rode tinten had afgedrukt.
70260	72300	Ik heb het even in Delver opgezocht,
72440	76680	en dit was de Volkskrant van zaterdag 24 juli 1976.
77300	78200	Oké, interessant.
78760	80340	Maar wel een beetje nerderig.
80340	84060	Portret Rode Planeet staat er met grote letters boven.
84660	88680	Ik zet wel een linkje in de show notes naar de krantenpagina in kwestie.
89900	91660	Dit was sensationeel.
91840	94720	Foto's vanaf het oppervlak van een andere planeet.
95300	98340	Beide Viking-landers bleven jaren operationeel.
98340	103760	Interessant detail is trouwens dat Viking 1 na zes jaar stopte met functioneren
103760	107520	door een menselijke fout tijdens een software-update.
107900	115020	Maar dat terzijde, we kregen een schat aan data terug van de Viking 1 en 2 landers en de orbiters,
115280	120740	die het contact met de landers onderhielden en ook zelfstandig onderzoek deden aan planeet Mars.
120740	125900	Inmiddels zijn er natuurlijk nog veel meer succesvolle landingen op Mars uitgevoerd,
126080	130280	zoals de meeste luisteraars van deze serie verhandelingen ongetwijfeld weten.
130420	131100	Dat zou kunnen, ja.
131180	135140	Hoe interessant is het dan ook dat wetenschappers nog steeds teruggrijpen
135140	138980	naar de verzamelde gegevens van die Mars-landers uit 1976?
140380	145880	Op 1 december van dit jaar verscheen een artikel in Nature Scientific Reports met de titel
145880	153120	Evidence of an Oceanic Impact and Megatsunami Sedimentation in Crysee Planitia Mars.
153940	158760	Dit artikel probeert antwoord te geven op een van de raadsels van het Viking-programma.
160240	163680	Voor de context van dit raadsel lees ik een stukje voor uit het boek
163680	166080	Landing op Mars van Griet Titulaar.
166720	173160	Dit boek verscheen in 1975, dus nog voordat de Viking-landers succesvol op Mars terecht waren gekomen.
173160	176520	Op bladzijde 52 lezen wij
176520	178580	De landingsplaatsen
178580	185160	Op 7 mei 1973 maakte NASA de landingsplaatsen voor de twee Viking-vluchten bekend.
185700	190880	De eerste landing zal worden uitgevoerd in een dal bij het begin van de enorme canyon op Mars.
191440	196460	De tweede landing zal 1700 kilometer ten noordoosten hiervan worden uitgevoerd
196460	202600	in een gebied waar men een grote kans denkt te hebben leven, zodat er is, aan te treffen.
203160	208420	Voor de keuze van de meest geschikte landingsplaatsen werden de volgende criteria gehanteerd.
209580	217380	A. De plaats moet zo laag mogelijk gelegen zijn opdat veel van de eile marsatmosfeer voor het afremmen kan worden gebruikt.
218380	223940	De landingsplaats van Viking 1 ligt 5 kilometer onder het gemiddelde marsoppervlak.
223940	229780	Die van Viking 2 is met 6 kilometer eronder een van de laagste punten op de planeet.
229780	233900	B. Er moet mogelijk water aanwezig zijn.
234500	237620	Hieraan voldoet vooral de landingsplaats van Viking 2.
238420	242780	C. Er moeten interessante geologische details te zien zijn.
243300	252940	Deze eis gaat zowel op voor de landingsplaats van Viking 1 in Karaisi als voor de landingsplaats van Viking 2 in Sidonia, Mare Acidalium.
252940	257280	D. Meteorologisch moet de landingsplaats gunstig zijn.
257820	261020	De kans op grote stofstormen moet erg klein zijn.
261940	270000	E. Het terrein moet betrekkelijk vlak zijn en de grootste hellingen in de directe omgeving mogen niet meer dan 170 graden bedragen.
270000	272980	D. Bovendien mag er geen dikke stoflaag zijn.
273820	279980	Zover men kan nagaan zijn de genoemde landingsplaatsen op grond van deze criteria de best denkbaren.
280700	285800	Het probleem is echter dat de keuze is gemaakt op grond van de foto's van de Mariner 9.
286440	289480	Hierop zijn de kleinst zichtbare details 100 meter.
290140	299360	Daarom zal de Viking Orbiter voor de ontkoppeling van de lander de landingsplaats inspecteren, nu met een oplossend vermogen van 25 meter.
299360	306600	Tot het laatste ogenblik, ook gedurende de vlucht, is het mogelijk door bijsturing de landingsplaats te veranderen.
307360	316080	Aangezien we voor de landing nooit eerder kleinere details hebben gezien dan 25 meter, blijven verrassingen tot en met de landing mogelijk.
317840	325460	En zo'n verrassing kwam, want waar wetenschappers dachten te zijn geland in een vlakte, bleek het oppervlak bezaaid met rotsen.
325460	333460	We waren destijds natuurlijk allemaal blij verrast door de mooie foto's, maar het was nooit helemaal duidelijk waar al die rotsen nou vandaan waren gekomen.
334460	341400	Als er overal rotsen liggen, dan ligt het voor de hand dat deze opgeworpen werden door een gebeurtenis in het verleden.
342500	346940	Zoals bijvoorbeeld een impact van een meteoriet of een vulkaanuitbarsting.
346940	352300	Maar daar was in de buurt van de landingsplek van Viking 1 niets van terug te vinden.
353160	359220	De Viking 1 was technologisch redelijk primitief, zeker vergeleken met de hedendaagse ruimtevaartuigen.
359720	363720	Maar met de camera aan boord konden wel panoramische foto's gemaakt worden.
364300	368860	En zo konden wetenschappers niks vinden dat de bron van al die stenen kon zijn.
368860	372700	Ook met de Viking orbiters werd niks gevonden.
373560	376720	De wetenschapper Alexis Rodriguez liet het er niet bij zitten.
377340	381860	Al in 2016 verscheen een artikel van zijn hand in Nature Scientific Reports,
382680	387880	waarin beschreven wordt dat de planeet Mars ooit een planeet met vloeibaar oppervlaktewater was,
388100	391120	waar tsunamis ook zeer waarschijnlijk op voorkwamen.
391120	396260	Specifiek beschreef Rodriguez twee verschillende megatsunamis,
396500	401880	waarvan op de Marsfoto's van de diverse ruimteschepen zelfs de littekens zijn vastgelegd.
402280	403480	Denken we tenminste.
403980	408040	Tussen beide tsunamigebeurtenissen kan een paar miljoen jaar gezeten hebben.
408840	411380	In die tijd was Mars al ernstig afgekoeld,
411380	416420	en zo denkt Rodriguez dat de tweede megatsunami ook veel ijs zal hebben verplaatst.
416420	423400	Het Marslandschap zoals we dat nu waarnemen is deels het gevolg van die twee megatsunamis,
423660	427060	die immense verplaatsingen op het oppervlak hebben teweeg gebracht.
427920	432920	In het artikel van dit jaar borduurt Rodriguez samen met collega's voort op dit thema.
433460	439240	Zo'n 900 kilometer ten noordoosten van waar de Viking-eenlander nog steeds stof staat te vangen,
439800	441480	bevindt zich de Poolkrater.
441480	448920	900 kilometer is te ver om ejecta van de inslag bij de landingsplaats van Viking-een aan te treffen.
449580	453400	Maar als Viking-een feitelijk op een oude zeebodem staat,
453940	457120	dan zouden al die rotsen ook door een tsunami verplaatst kunnen zijn
457120	459480	en veel grotere afstanden hebben afgelegd.
459480	467260	Eerder lazen we al in titulaarsboek dat Viking-een zo laag mogelijk op Mars geparkeerd werd
467260	472880	en vijf kilometer onder het gemiddelde oppervlak kan heel goed een oude zeebodem zijn geweest.
475880	478860	Die Poolkrater is ook nauwgezet bestudeerd
478860	482620	en kan geologisch gezien goed de dader zijn van de tsunami
482620	486160	die Viking-eens landingplaats met rotsen overspoelde.
486160	491360	Wat op de foto's te zien is, is dat de Poolkrater zelf op terrein is ontstaan
491360	494060	dat al door grote vloedgolven moet zijn ontstaan.
494500	498840	Maar de krater zelf lijkt ook bedekt te zijn met rotsen van een jongere tsunami.
499980	502720	Dat betekent volgens Rodriguez en collega's
502720	507220	dat deze krater welhaast in de oceaan van destijds moet zijn ontstaan
507220	511740	en de kans op een tsunami als gevolg daarvan dus bijzonder groot is geweest.
512700	517440	Rodriguez en collega's lieten het allemaal nog eens narekenen in computermodellen.
518120	521980	Deze simulaties waren zo overtuigend dat zij zich gesterkt voelden
521980	524180	om het artikel hierover te publiceren.
524980	528820	Dit schijnt ook een heel nieuw licht op het enigszins controversiële
528820	533200	labeled-release-experiment dat uitgevoerd werd met de Viking-landers
533200	536280	en zowaar een positieve uitslag gaf.
536920	539660	Kort gezegd werd hier een chemische reactie gemeten
539660	543280	die toegeschreven zou kunnen worden aan organische leven.
543860	546440	Maar daar is niet iedereen het over eens.
546660	548400	Ik denk dat iedereen dit ongemakkelijk vindt.
548760	553960	Over dit experiment hadden we het al in aflevering 76 van deze serie Columns.
554820	558260	Destijds werd aangenomen dat Viking 1 op land was geland.
558880	561300	Maar als Rodriguez's conclusies juist zijn
561300	566960	dan stond Viking 1 dus mogelijk middenin opgedroogd sediment van het vroegere oceaan.
569180	574220	Dat zou dan automatisch inhouden dat zo'n beetje alle onderzochte rotsen en bodemonsters
574220	576280	in contact zijn geweest met water.
577180	581280	En levend vinden we in ieder geval op aarde met name daar waar water is.
584280	588860	U heeft overweldigend gereageerd op het bericht dat deze podcast eindigt
588860	591180	bij de NPO en dus ook bij de NTR.
592040	594660	Ik kreeg al meer dan 300 persoonlijke e-mails
594660	596640	wat de bodem van mijn hart heeft verwarmd.
597780	600540	Ik heb dan ook besloten door te gaan met de podcast
600540	601940	maar dan in eigen beheer.
601940	604340	De naam zal iets moeten veranderen
604340	607560	dus de nieuwe podcast krijgt de naam Zimmerman & Space.
609660	615500	In de resterende drie afleveringen zal ik u uitleggen hoe u geen enkele aflevering hoeft te missen
615500	619260	en naadloos kunt al verschakelen naar de nieuwe podcast.
620220	626580	En oh ja, deze mooie podcast over protestmuziek wordt gemaakt door Myrthe van der Drift en Roos Heijnen.
626580	631280	Nederlandse protestmuziek?
631660	633700	Veel verder dan dit komen de meeste mensen niet.
635560	637960	Terwijl er is zoveel meer.
641960	643800	In de nieuwe podcast Doe Maar Normaal
643800	646220	laten wij Roos Heijnen en Myrthe van der Drift
646220	649740	de verborgen parels uit de Nederlandse protestmuziek ontdekken.
649740	659440	En onze gids, dat is Luidensham.
659720	662140	Ik loop gewoon echt bij een kringloop of bij een platenzaak naar binnen.
662300	664460	Bijna altijd is er dan wel zo'n plaat dat je denkt, hé.
667320	669360	Beluister, Doe Maar Normaal, de podcast.
669480	672900	Een serie over protestmuziek van NPO Radio 2 en NTR.
672900	679300	Luisteren dus.
679480	682480	U vindt de podcast Doe Maar Normaal in uw podcast-app.
682960	684220	Tot de volgende keer.
