start	end	text
260	5100	U luistert naar Zimmerman & Space, een podcast over astronomie.
5820	12140	Heeft u dat ook wel eens, dat u ergens aanbeland bent en echt geen flauw idee meer heeft waar u bent?
12280	13000	Ja, het is echt gênant.
13720	16980	Tegenwoordig met Google Maps natuurlijk niet meer zo actueel.
17240	22780	En toch kan het van tijd tot tijd prettig zijn zo'n bord met u bevindt zich hier tegen te komen.
23680	28320	Dan weet u bijvoorbeeld aan welke kant u in een metrostation terecht bent gekomen,
28320	34600	terwijl Google Maps naastig op zoek is naar gps-satellieten om een plaatsbepaling uit te kunnen voeren.
35640	41180	Daar staat u dan, moederziel alleen, bij een bord met een versleten inscriptie.
41360	42160	You are here.
42360	47580	Ik voel me altijd een beetje dommig als ik dan in eerste instantie niet eens weet waar ik naar kijk,
47800	50180	of wat noord, zuid, west of oost is.
51120	55320	Is dit lijntje die grote weg die zich schijnbaar achter mij bevindt?
55320	58540	Of is dat de weg waar ik nu aan sta?
59180	63940	En hoe kan ik dat überhaupt weten in een metrostation zo diep onder de grond?
65220	66560	U bevindt zich hier.
67180	73460	Een semi-prettige manier om uw nietigheid in de vluchtigheid van het bestaan maar weer eens te benadrukken.
74680	79100	Vandaag een you are here met betrekking tot uw plaats in dit heelal.
79700	81220	Wellicht heeft u er nog wat aan.
81220	90860	Een uitdaging van mens zijn is namelijk hoe lastig het is om ons adequaat te realiseren hoe onsignificant wij zijn op de kosmische schaal.
91740	97780	Veel van ons lijden komt voort uit onze gehechtheid aan uitkomsten die we als goed of slecht evalueren.
98760	101360	Uitkomsten die er voor ons schijnbaar heel veel toe doen.
102080	104800	Een soort schromelijke zelfoverschatting eigenlijk.
105600	109560	We maken ons zorgen over die keer dat we te hard treden en geflitst werden.
109560	115620	Hoeveel geld we verdienen en hoeveel we volgens onszelf eigenlijk verdienen.
119620	123740	Hoe onsuccesvol onze carrière of ons pensioenplan zijn.
124680	130460	En of we een rib uit het lijf moeten betalen om de druppelende kraan in de douche te laten repareren.
131460	135160	We maken ons tegenwoordig natuurlijk ook zorgen over natuurrampen.
135160	139140	Te veel of te weinig water.
140520	144040	Raddraaiers die met energiedrankjes en messen lopen te zwiepen.
144640	147220	En dreigende taal van regeringsleiders.
147220	151200	Dat zijn tevens de minst geschikte personen voor die posities.
151900	159220	Op hogere sociaal-economische niveaus maken we ons druk over het afvinken van items op onze bucketlist.
159220	164220	Het bezoeken van voldoende schitterende locaties voor onze instastories.
165260	171920	En het ondernemen van de juiste cultureel verrijkende activiteiten om ons begrip van de wereld te vergroten.
172820	175440	En of anderen wel zien hoe geweldig wij zijn.
