start	end	text
400	2960	U luistert naar Zimmerman & Space.
3340	6080	Ik denk dat sommige luisteraars hier wel afhaken, Hans.
6420	9960	Twee weken geleden hadden we het over de ruimtevaart-economie.
10060	10860	Oh no.
11120	14140	Vandaag een bericht dat daar enigszins bij aansluit...
14140	16660	en mijns inziens wel interessant genoeg is.
16780	19260	Ik denk dat je er een hele podcast aan kan wijnen.
21760	22940	Zo is het, Kelly.
23740	26500	Er is zoveel gaande in de ruimtevaart op dit moment...
26500	29940	dat het soms lastig is het allemaal op de voet te blijven volgen.
30000	33000	We denken dat we naar de zachte landing op de maan kwamen...
33000	35000	met, zoals ik zei, over 6 miles per hour deze manier...
35540	37620	en over 2 miles per hour deze manier.
38220	41140	En we hebben een voet in de surface...
41140	42720	en de lander heeft het tippt.
43260	45800	Maanlanders die een zachte landing op de maan maken...
45800	48800	en vervolgens op hun zij blijken te liggen van die dingen.
50060	55180	Het onderwerp van deze aflevering betreft het bedrijf Varda Space Industries...
55180	59980	een in november 2020 opgericht bedrijf in El Segundo, California.
59980	64940	Varda Space Industries werd opgericht door Will Brewey...
64940	67980	Delian Asparohoff en Daniel Marshall...
67980	70120	en heeft nu meer dan 70 werknemers.
70860	75940	De CEO Will Brewey was eerst hardware-specialist bij het bedrijf SpaceX.
75940	81640	De band tussen Varda en SpaceX is nog steeds heel warm.
82240	84940	SpaceX lanceert de ruimtevaartuigen van Varda...
85460	86940	door middel van een zogenaamde rideshare.
87800	89300	Kun je daar nog wat dieper op ingaan?
89460	92940	Dat betekent dat SpaceX meerdere satellieten in één keer lanceert...
93420	96740	met een herbruikbare of deels herbruikbare raket.
97540	100200	Dit houdt uiteraard de kosten voor klanten laag.
100200	105200	Sterker nog, het lanceren van een satelliet via een SpaceX rideshare...
105720	108580	is een kwestie van het invullen van een webformulier.
109080	111460	Alsof u een treinrit plant, zeg maar.
112700	117900	U vult eenvoudig weg in hoeveel kilo u naar welke baan rond de aarde wilt brengen...
117900	119960	en u ziet gelijk hoeveel dit gaat kosten.
122580	128260	Dus als ik invul dat ik 20 kilogram in een lage baan rond de aarde wil brengen...
128260	131160	dan kost mij dat 0,3 miljoen dollar.
134880	136880	Oké, dat wordt nog even doorsparen.
137760	140900	Nog even terug naar die band tussen Varda en SpaceX.
141880	146520	Een autorit tussen de beide hoofdkantoren duurt op dit moment slechts acht minuten.
147500	151460	Beide bedrijven bevinden zich vlakbij Los Angeles International Airport.
151460	159920	En als u toch in de omgeving bent, kunt u ook het Zimmerman Automobile Driving Museum bezoeken.
160160	161660	Maar dat geheel terzijde.
162660	165360	De missie van Varda Space Industries is...
165360	167180	Building in space for life on earth.
167360	171580	De klanten van Varda vinden we uiteraard vooral in de farmaceutische industrie.
172080	175460	En dan met name onderzoek en ontwikkeling van medicijnen.
176080	179460	Dit is een omvangrijk economische sector met enorme budgetten.
179460	185360	Volgens Statista waren de wereldwijde uitgaven voor research en development...
185360	191500	in de farmaceutische industrie in 2022 rond de 244 miljard dollar.
191640	192520	Zo hé, wat veel!
192740	195460	Het ontwikkelen van medicijnen in een lage baan rond de aarde...
196140	199620	heeft als voordeel dat daarmee in de afwezigheid van zwaartekracht...
199620	201360	effecten kan worden geproduceerd.
202120	205460	Volgens Varda Space Industries heeft dit met name het voordeel...
205460	209380	dat convectie en sedimentatie hierbij geen rol meer spelen.
209500	211000	Mag het in het Nederlands?
211120	211520	Tuurlijk!
212060	215460	Convectie is warmtestromingen, gassen en vloeistoffen...
215460	217640	door temperatuur- en drukverschillen.
218220	221460	In een micro-zwaartekrachtomgeving is geen sprake van convectie.
222740	226840	Door diffusie en warmtegeleiding, gevolgd door een thermisch evenwicht...
226840	230880	in de gehele container waar een experiment of productie plaatsvindt...
230880	232840	ontstaan er geen significante temperatuur...
233580	235780	en daardoor drukverschillen in het medium.
236460	239820	En dit heeft weer tot gevolg dat er geen convectie mogelijk is...
239820	242980	en de vloeistof of het gas dus in stilstand blijft.
244580	248740	Sedimentatie is het bezinken en daardoor ophopen van onderdelen in een mengsel.
249380	251720	Geen zwaartekracht, geen sedimentatie.
251940	253420	Ja, dat is logisch.
253420	257420	De scherpe oplettende luisteraar, die deze podcast niet alleen maar gebruikt...
257980	260420	om goed in slaap te kunnen vallen, zal misschien opmerken...
261200	264800	dat er in een baan rond de aarde geen sprake is van gewichtloosheid.
265080	265440	Yes!
265720	266540	Dat is correct.
267320	271420	Om echt geen significante zwaartekracht van de aarde meer te ondervinden...
271420	273640	moeten we heel ver van de aarde afreizen.
274560	278420	In een baan rond de aarde is sprake van schijnbare gewichtloosheid.
279120	281880	Een ruimteschip, al dan niet met u erin...
281880	284500	valt in een cirkel of een ellips rond de aarde.
284920	288880	Het vallen richting de aarde is daarbij gelijk aan het vallen in de baanrichting...
289400	292320	waardoor een afdaling naar het aardoppervlak vermeden wordt.
292520	292880	Oh, gelukkig!
293600	297140	Het netto-effect is echter identiek aan een gewichtloze toestand.
297760	300840	En dit is weer ideaal voor farmaceutische ontwikkelingen.
301640	303880	Want hiermee kunnen kleinere moleculen ontwikkeld worden...
303880	307120	beter geordende kristallen ontstaan...
307120	309560	en efficiëntere medicijnen ontwikkeld worden.
310260	311880	Eerste experimenten op dit gebied...
312400	316100	werden al met succes beproefd in het International Space Station.
317000	320880	Zo onderzochten wetenschappers van de Arizona State University...
320880	323880	en het Rensselaar Instituut in 2023...
323880	325880	hoe eiwitten voor therapeutische doeleinden...
325880	329520	in micro-zwaterkracht verbeterd kunnen worden.
330420	334080	Op aarde treedt bij dit productieproces sedimentatie op...
334080	336360	waarbij klonten ontstaan in een preparaat.
337040	340880	In het ISS was om bovengenoemde redenen geen sprake van sedimentatie...
342000	344880	waardoor een verbetering in productie werd geconstateerd.
345680	347380	Als u hier meer over wilt lezen...
347380	350260	vindt u een link in het bijschrift van deze aflevering...
350260	351700	naar een artikel met de titel...
351700	353460	Een klein droog met een grote impact.
353900	355500	Fundamentale science in space...
355500	356920	om de medicijnen op de Eerste te veranderen.
357160	361760	Een ander voorbeeld komt van het farmaceutische bedrijf Merck met CK...
361760	365700	dat in 2019 aan boord van het International Space Station...
365700	370380	een efficiëntere versie van hun anti-kankermedicijn Keytruda ontwikkelde.
371180	374880	We kunnen natuurlijk een beetje de zure aardbewoner gaan uithangen...
374880	377240	en zeggen dat het alleen maar om geld draait...
377240	380160	en het zakken vullen van mensen die al meer verdienen dan wij.
380160	385100	En toch is het denk ik belangrijk om dat niet de hele tijd te doen...
385100	388740	en ook juist in te zien dat een en ander in het belang is van de patiënt.
389680	393920	IJs en wederdienende gaat de generatie van mijn dochter nog meemaken...
393920	397820	dat kanker eerder opgespoord en veel beter behandeld kan gaan worden.
398780	402360	Wat Merck in een baan rond de aarde experimenteel ontwikkelde...
402360	404340	is een variant van hun medicijn...
404340	406540	die via injectie kan worden toegediend...
406540	410080	in plaats van druppelgewijs in een infuus moet worden toegediend.
411180	416060	De meeste luisteraars van deze podcast zullen er gelukkig niet bij stil hoeven staan...
416060	418960	maar het maakt natuurlijk enorm uit voor uw levensgeluk...
418960	422800	of u uw medicijn periodiek als injectie toegediend krijgt...
422800	425480	of uw mobiliteit permanent beperkt...
425480	427380	dat u verbonden blijft met een infuus.
427980	430860	Dit zijn belangrijke ontwikkelingen, mijns inziens.
431060	432080	Ja, schiet nou maar op.
432240	436120	U zult wel inzien dat het uitbesteden van dergelijke experimenten...
436120	440300	aan astronauten aan boord van het ISS kostbaar en tijdrovend is.
441380	444640	Varda Space Industries commercialiseert dit proces...
444640	449040	en maakt het bereikbaar, goedkoper en sneller voor de farmaceutische industrie.
449940	454300	Op dit moment maakt Varda één ruimtevaartuig, de zogenaamde V1.
454300	458420	Dit is een zelfstandige satelliet die geoptimaliseerd is...
458420	461280	voor productie in een micro-zwaartekrachtomgeving.
461820	465680	Het bijzondere aan de V1 is dat dit tevens een capsule is...
465680	468180	die ontworpen is om weer terug te keren naar de aarde.
468920	471520	Hier maakt de V1 een zachte landing op het land...
471520	474360	wat ook nog eens goedkoper is dan een landing in zee.
477400	482300	De eerste V1 werd gelanceerd door SpaceX op 12 juni 2023...
482300	486660	samen met nog 71 satellieten van allerlei verschillende klanten.
487460	490300	De terugkeer naar de aarde van de V1 werd lange tijd tegengehouden...
491220	494300	door de FEE, de Lucht- en Ruimtevaart Administratieorganisatie...
495640	496880	van de Verenigde Staten.
497900	502300	En op 21 februari van dit jaar, zes dagen geleden als ik dit inspreek...
502820	506960	landde de V1 succesvol aan een parachute in de woestijn van Utah.
