start	end	text
0	2380	U luistert naar Zimmerman & Space.
2680	8860	In deze podcast zoeken we samen vaak naar de laatste inzichten op het gebied van de astronomie.
9600	11080	Is er buitenaards leven?
11420	11960	Ja, natuurlijk.
12520	17080	Hoe ver kan de nieuwste ruimtetelescoop het verleden en het heelal inturen?
17460	18700	13 miljard jaar.
19180	23400	Is de sample return capsule van Osiris-Rex goed terechtgekomen?
23840	24200	Ja.
24840	27380	Hebben we aarde 2.0 nu al gevonden?
27920	28280	Nee.
28280	30760	Maar dat is niet het hele verhaal.
31600	36940	Astronomie is bij uitstek ook een interessegebied waarbij de verwondering een rol mag spelen.
37320	39720	Het meditatieve opgaan in het nu.
40660	46100	In de aanschouwing van die raadselachtigheid waar we toch nooit alle antwoorden voor zullen gaan vinden.
47280	50580	Zeker niet met onze ernstig beperkte hersens,
50800	55480	die vooral zijn geëvolueerd in de richting van het zoeken naar koopjes en partners.
55480	59120	Maar niet per se in die volgorde.
59120	65280	Bij mij begon de sterrenkundige interesse op jonge leeftijd vooral met die verwondering.
65920	69980	Een beetje via de Apollo maanreizen en het beeldmateriaal daarvan.
69980	78640	Maar ook via de sterrenhemel op vakanties.
78640	84720	Opeens waren daar sterrenbeelden, satellieten die door de nachtelijke hemel reisden,
84940	88860	de flitsen van meteoren en de schijngestalten van onze maan.
89800	92840	Voor mij was dat als kind gemakkelijker dan dat het nu is.
93560	99560	Het lijkt wel of ik de jagerverzamelaar in mij heb opgekweekt tot iemand die alleen nog maar verzamelt
99560	102080	en nooit meer echt puur alleen op jacht is.
102080	107180	Het bezit van de zaak is het einde van het vermaak, wordt wel eens gezegd.
108520	110880	Maar dat hoeft natuurlijk niet zo te zijn.
111940	115340	Vandaar vandaag alleen maar een pleidooi voor de kinderlijkheid,
115500	118480	de zuivere aanschouwing zonder enig belang.
120880	126980	Hoe krijgen we weer toegang tot dit kinderlijke gevoel van verwondering en pure aanschouwing?
126980	131080	En dan liefst zonder ceremoniële chemicaliën.
131080	131440	Boing!
137760	141120	Een ding dat mij te binnen schiet is via de herinnering.
141260	148500	Een van de eerste momenten dat ik de onbeschrijfelijke schoonheid van ons heelal volop in het vizier kreeg,
148660	151300	was via een foto van de Trifit-nevel.
151300	157580	Mijn vader wist dat ik alles verzamelde over de ruimte en de sterren wat los en vast zat
157580	162940	en hij had een kleurenfoto van dit object uit een dokterstijdschrift gescheurd voor mij.
