start	end	text
0	3380	U luistert naar Zimmerman & Space.
4040	10920	Misschien heeft u wel eens gehoord dat de James Webb ruimtetelescoop zich in het L2 Lagrange punt bevindt.
11040	16360	De zogenaamde Lagrange punten roepen regelmatig vragen van luisteraars op.
16720	25280	Bijvoorbeeld de vraag hoe groot zo'n punt is en of men er ongestraft ruimteschepen in kan hangen zonder dat die tegen elkaar aanbotsen.
25280	31980	Laten we vandaag eens wat dieper in deze materie duiken.
32880	35000	En voor wie vreest dat dit weer een...
35000	36260	Pak de rekenmachine er maar bij.
36380	40620	...onderwerp wordt? Wees gerust, de rekenmachine mag in de tassen blijven.
40740	41660	Oh, gelukkig!
42600	46900	Ah, ik hoor de schoolbel al. Zit iedereen op haar of zijn plek?
47660	50080	Hartstikke mooi. Dan kan de les beginnen.
51180	53660	Eerst maar eens, wat zijn Lagrange punten?
53660	68060	Lagrange punten zijn posities in de ruimte waar de zwaartekrachten van een systeem, zoals bijvoorbeeld de zon en de aarde, maar ook de aarde en de maan, versterkte gebieden van aantrekking en afstoting produceren.
68840	78940	Deze punten kunnen door ruimtevaartuigen worden gebruikt als parkeerplaatsen in de ruimte waar ze met minimaal brandstofverbruik in een vaste positie kunnen blijven hangen.
78940	89860	Eenmaal in positie reist een ruimtevaartuig, zoals bijvoorbeeld de James Webb ruimtetelescoop, als het ware gratis mee met de baan van de aarde om de zon.
90320	97160	Dit klinkt natuurlijk weer te goed om waar te zijn en dat moeten we dan ook kritisch bekijken, wat we zo zullen doen.
97320	98060	Ja, dat zeg jij.
98060	106100	Er bestaan precies vijf speciale punten in en om de baan van een object dat om een object met een grotere massa draait.
106780	118120	Een derde object met een veel kleinere massa, zoals bijvoorbeeld een ruimtevaartuig, maar ook een rotsblok, kan dan in een constant patroon meebewegen met de twee objecten met grotere massa's.
118120	124920	Deze punten ontstaan door de wisselwerking van de zwaartekracht invloeden van de twee objecten met grotere massa.
126040	134780	We kennen dit als het algemene drie-lichamen-probleem dat werd behandeld door de Italiaans-Franse wiskundige Joseph Louis Lagrange.
135840	142780	Hij publiceerde er in 1772 over en sindsdien kennen we deze punten als de Lagrange-punten.
142780	149740	Overigens had de wiskundige Leonard Euler een paar jaar daarvoor al drie Lagrange-punten ontdekt.
149920	150100	Oh?
150380	153000	Lagrange zelf beschreef twee extra punten.
153880	159220	Euler en Lagrange werkten veel samen en Euler was onder de indruk van het werk van Lagrange.
160180	165600	Heel algemeen kunnen we zeggen dat daar, waar twee hemellichamen om elkaar heen draaien,
165800	171220	automatisch vijf punten ontstaan waar de onderlinge zwaartekrachten met elkaar in balans zijn.
171220	179620	Maar de massa van deze objecten en ook de massaverhouding zijn van invloed op de grootte en stabiliteit van deze punten.
