start	end	text
0	9500	Bij het inspreken van deze aflevering staat hier op tafel een glas water gewoon uit de kraan.
10140	15000	We staan er gelukkig niet altijd bij stil, maar dat water is een voorwaarde voor ons bestaan.
15940	18900	En met ons alle levende wezens op aarde.
19600	26860	We kunnen wel ons hoofd breken op uitzonderingen, maar dan zullen we ontdekken dat water toch altijd weer een of andere rol speelt.
26860	32980	De kangaroo rat kan verbijsterend genoeg een leven lang niks drinken.
33580	37260	Maar we vinden heus wel water in het lijfje van zo'n beest.
38180	46040	De kangaroo rat is extreem goed aangepast aan een droog klimaat, maar water speelt wel degelijk een rol bij het metabolisme van het dier.
47200	55040	Als de kangaroo rat de kans krijgt, zal zij wel degelijk water drinken en anders onttrekt ze het aan het voedsel.
55040	59280	Oké, dan nemen we een levend wezen zonder metabolisme.
59900	61160	Een virus bijvoorbeeld.
63380	67560	Een virus heeft inderdaad geen metabolisme, maar leeft het eigenlijk wel?
67700	69180	Hens, ik twijfel hieraan.
69320	72360	Het is een parasitair stuk genetische code.
73080	77500	En als parasiet heeft het een levende cel nodig om zich te vermenigvuldigen.
77500	82140	Een cel met, u raadt het al, water.
83240	96660	Ook zal een droog virus dat door de lucht dwarrelt snel beschadigd raken, want het is in feite vooral een complex bouwsel van moleculen dat gevoelig is voor ultraviolette straling en ook voor mechanische beschadiging.
97460	102160	Een virus doet het vooral goed als het in kleine waterdruppeltjes uitgehoest wordt.
102160	105680	Want dan blijft het beter beschermd tegen onheil.
106440	115420	En planten zoals de aloe vera of de lavendel kunnen het superlang uithouden in droogte, maar zijn ook weer aangepast aan een droog klimaat.
116240	120760	Op den duur is ook bij deze planten water nodig om te kunnen overleven.
120760	126600	Onze planeet aarde is bijzonder omdat er zoveel water op te vinden is.
127520	131660	Volgens NASA is 71% van het aardoppervlak water.
132580	135900	96,5% ervan is zoutwater.
136940	138860	Maar waar komt dat water vandaan?
139620	142680	Eerder deze maand verscheen hierover een artikel met de titel
142680	152740	In de wetenschappelijke pers waarop ik werd geattendeerd door een luisteraar van deze podcast.
153860	158380	Hoofdauteurs van het artikel zijn astronomen John Tobin en Merel van het Hof.
159080	165900	En de beroemde Leidse astronoom Evine van Dishoek was ook betrokken bij de interpretatie van de waarnemingen in dit onderzoek.
166140	171320	Het artikel beschrijft een belangrijke ontdekking met betrekking tot de oorsprong van ons water.
171320	176940	Maar laten we eerst samen de titel goed proberen te begrijpen.
182040	183360	Letterlijk vertaald
183360	194680	Een protoster is het voorstadium van een ster.
194960	201080	Ook onze zon was ooit een protoster, maar daaromheen een planeetvormende schijf van gas en stof.
201960	206940	Spoelen we dan wat verder in de tijd, dan is de protoster een ster geworden.
206940	236940	
236940	241860	Isotopen zijn atomen van hetzelfde element, maar met een verschillend aantal neutronen.
242500	249160	Gewone waterstof, ook wel protium genoemd, heeft één proton en één elektron en nul neutronen.
249380	249760	Zero
249760	255540	Deuterium daarentegen heeft naast één proton en één elektron ook één neutron.
256280	259100	Daarmee is het nog steeds waterstof, maar iets zwaarder.
259100	264460	Voegen we nog een neutron toe aan de kern van waterstof, dan heet het tritium.
265100	269360	Ook dit is een isotoop van waterstof, alleen vervalt deze weer vrij snel.
269660	270060	Adios.
270060	272380	Tritium is daarom ook niet stabiel.
272380	281020	Duuterium met één extra neutron in vergelijking met gewone waterstof, duiden we ook wel aan met 2H of gewoon een letter D.
281240	281820	Dat is goed.
281820	289980	Omdat duuterium een isotoop van waterstof is, kunnen we het aantreffen in moleculen waar we anders gewone waterstof aantreffen.
290600	292200	Zoals water bijvoorbeeld.
292420	293660	Oh ja, inderdaad.
294040	298000	In plaats van H2O zouden we dat water ook D2O kunnen noemen.
299080	301640	In de volksmond heet dat ook al zwaar water.
302640	308660	En inderdaad zijn deze moleculen dus ook letterlijk iets zwaarder dan huistuin- en keukenwatermoleculen.
308660	312480	Duuterium komt op aarde niet zoveel voor.
313140	318020	Slechts zo'n 0,016% van alle waterstof op aarde is duuterium.
319180	322760	En nu zijn we bij de essentie van het artikel aangekomen.
324840	330960	Want die verhouding tussen duuterium en protium is als het ware een vingerafdruk van dat water.
332000	334100	Daar wordt al langer onderzoek naar gedaan.
334660	336760	Bijvoorbeeld in ons eigen zonnestelsel.
336760	347240	Zo werd al in 2010 met de Herschel satelliet gekeken naar de duuterium-protium verhouding bij diverse waterhoudende objecten in ons zonnestelsel.
