start	end	text
540	4200	U luistert naar Zimmerman & Space.
4880	10460	De aflevering van vandaag speelt zich af in een tunnel zoals u vast wel kunt horen.
11100	18340	Voor en achter ons strekt de tunnel zich uit zonder dat voor ons duidelijk is hoe ver de uitgang nog op zich laat wachten.
19180	21540	Als er überhaupt sprake is van een uitgang.
22500	25820	De atmosfeer is klam hier diep onder de grond.
26440	29200	Her en der valt af en toe een druppel naar beneden.
30000	33780	Van tijd tot tijd valt ons oog op een spin of een insect.
34440	36940	Hier zien we ze dus nog wel onder de grond.
37940	42500	Met deze tunnelvisie zijn we uitstekend voorbereid op het verhaal van vandaag.
42700	50180	Want mogelijk beweegt onze aarde en eigenlijk ons hele zonnestelsel zich door een gigantische magnetische tunnel.
50720	54820	Een nog niet verklaarde maar wel degelijk waargenomen magnetische tunnel.
55600	56460	Hoe zit dat?
56460	86460	
86460	93660	De spur is een plek van opgewarmd gas en geladen deeltjes waardoor rundgenstraling en radiostraling worden uitgezonden.
94460	102040	Bij zowel de North Polar Spur als bij de Fan Region meten astronomen sterk gepolariseerde radiostraling.
102040	103380	Waarover zometeen meer.
104040	108880	De Fan Region is zelfs een van de meest gepolariseerde radiobronnen die we kennen.
108880	115760	Wat deze twee regio's aan de hemel zijn en wat de oorzaak van hun bestaan is weet eigenlijk niemand.
116560	121620	Het zou de restante kunnen zijn van een supernova explosie uit een ver verleden.
122260	126880	Waar ook lang niet iedereen het over eens is, is de afstand van de aarde tot deze structuren.
126880	129800	Zijn het lokale verschijnselen?
129800	134600	Wat zou verklaren dat deze zo'n groot gedeelte van onze sterrenhemel bestrijken?
134900	139440	Of zijn het verder weggelegen structuren die onderdeel uitmaken van onze melkweg?
140240	146940	Dat is met alleen radiostraling lastiger te bepalen dan wanneer we de afstand tot bijvoorbeeld sterren proberen te bepalen.
146940	160600	Het is ook wel belangrijk om te weten of dit een lokaal, dus een dichtbij fenomeen is, omdat dat dan dus eigenlijk al onze waarnemingen van verder weggelegen objecten en gebeurtenissen vervuilt met straling.
161560	168720	Straling die dus eerst verwijderd moet worden van waarnemingen van verder weggelegen bronnen om een objectiever beeld te verkrijgen.
168720	180420	Voor we hier verder over uitweiden, zullen we eerst eens uit onze denkbeeldige tunnel klimmen en samen kijken waar we deze fenomenen aan onze sterrenhemel zouden kunnen aanwijzen.
181020	189920	Wij zien met onze ogen natuurlijk geen radio- of röntgenstraling, maar we kunnen wel de sterren en sterrenbeelden zien waar deze regio's in de buurt liggen.
189920	202740	De North Polar Spur ligt min of meer in de sterrenbeelden Slangedrager, Slang, Hercules, Noorderkroon en Bootes en strekt zich uit tot in de sterrenbeelden Schorpioen en Boogschutter.
203300	210660	De Fen Region vinden we in de buurt van de sterrenbeelden Zefuis, Cassiopeia, Persuis en Camelopardalis.
210660	223140	Met een beetje fantasie kunnen we deze enorme slierten van radioemissies zien alsof ze onderdeel zijn van de wanden van een tunnel die het vluchtpunt heeft in de buurt van de sterrenbeelden Zwaan en Lier.
224200	227200	En dat is precies waar deze aflevering over gaat.
227200	242940	Lange tijd werden deze twee regio's als distincte fenomenen gezien, maar astronoom Jennifer West van de Universiteit van Toronto denkt dat beide regio's onderdeel zijn van een enorme magnetische tunnel waar ons zonnestelsel doorheen beweegt.
244280	249540	Een gigantische regio van magnetisme die onderdeel uitmaakt van onze arm in de Melkweg.
250020	256680	Van de hand van Jennifer West en collega's verscheen hierover in 2021 een artikel met de titel
256680	260520	Een unified model voor de Fen Region en de North Polar Spur.
260940	263720	Een bundel van filaments in de lokale galaxie.
264080	271080	Het is dat gepolariseerde aspect van de straling dat maakt dat het vermoeden bestaat dat het een magnetische tunnel betreft.
271740	277980	Het is misschien interessant en ook een beetje saai even wat langer stil te staan bij die polarisatie.
278180	280400	Ik denk dat je er een hele aflevering over kan maken.
280880	284460	We hebben het er natuurlijk wel eens eerder over gehad in deze podcast.
284460	296720	Maar goed, deze podcast is geen cursus en het is mijn hoop dat iemand die een losse aflevering beluistert genoeg informatie krijgt om een en ander als op zichzelf staand verhaal te kunnen beluisteren.
296880	297840	Dat was een lange zin.
298720	304480	Elektromagnetische straling, of het nou licht, radio of röntgen betreft, heeft een bepaalde draairichting.
304920	308240	Los nog van de richting waarmee straling door de ruimte beweegt.
308240	320360	Als we het niet over fotonen, lichtdeeltjes, hebben, dan kunnen we deze straling opvatten als een elektrisch en een magnetisch veld die loodrecht op elkaar staan en in fase met elkaar bewegen.
321260	329420	Bij heel veel natuurlijke processen vliegt de straling in de rondte en is die draairichting, die we dus polarisatie noemen, geheel willekeurig.
329420	341440	Als u bijvoorbeeld een kaars aansteekt met een lucifer of een ouderwetse gloeilamp aandoet, dan kunnen we niet zeggen dat het licht dat ons bereikt een bepaalde polarisatierichting kent.
342200	349420	Zouden we het meten, dan zien we dat alle polarisatierichtingen, of draaihoeken zo u wilt, evenredig zijn vertegenwoordigd.
349420	353420	Inderdaad.
354600	362040	Maar zowel natuurlijke als onnatuurlijke interventie kan maken dat die straling in een bepaalde polarisatierichting gedwongen wordt.
363840	373580	Reflecteert zonlicht bijvoorbeeld op een plat vlak, dan wordt met name dat licht gereflecteerd waarbij het elektrisch veld de polarisatierichting van het platte vlak heeft.
374320	375300	Tuurlijk, Hens.
375300	382900	Maar zet u dan weer een Polaroidbril op, dan houdt deze precies dat horizontaal gepolariseerde licht weer grotendeels tegen.
383140	384180	Well, I don't see it.
384860	391300	Radiostraling van radiostations op aarde kan door middel van antennes in de bepaalde polarisatierichting uitgezonden worden...
391940	396680	en moet dan ook ontvangen worden met antennes die dezelfde polarisatiehoek aanhouden.
398780	403300	Radiostraling die in het heelal ontstaat, bijvoorbeeld in een supernova-explosie...
403300	410300	zal doorgaans willekeurig gepolariseerd zijn en dus in alle mogelijke draairichtingen door het heelal propageren.
411580	415480	Maar komt dergelijke radiostraling een sterk magneetval tegen...
415480	420740	dan kan dit ervoor zorgen dat de radiostraling in een bepaalde polarisatiehoek gedwongen wordt.
421440	425720	Dit nu is wat waargenomen wordt in de Fan Region en de North Polar Spur.
425720	430600	Overigens zijn magneetvelden niet de enige bronnen van polarisatie.
430820	431020	Oh?
431300	436080	Ook stofdeeltjes kunnen werken als polarisators van elektromagnetische straling.
436820	441860	We kunnen het kort samenvatten door te zeggen dat straling behalve een frequentie...
441860	444640	nog een eigenschap heeft die we polarisatie noemen.
445380	449100	En astronomen kunnen zowel frequentie als polarisatie gebruiken...
449100	451920	om iets te zeggen over de herkomst van de straling...
451920	455700	en wat deze straling tijdens de weg naar ons toe heeft meegemaakt.
455940	456700	Oké, hurra.
457380	463000	Astronomen refereren aan de waargenomen radioemissies als synchrotron radiation...
463000	464940	of synchrotron straling.
465060	465380	Oké.
465600	468100	Hier bestaat ook nog een andere Duitse term voor.
469100	470060	Magnetobremsstralum.
470060	474380	Deze straling wordt gegenereerd wanneer kosmische straling...
474380	478060	geladen deeltjes afgebogen worden door een magneetveld.
478700	481340	Een geladen deeltje verliest hierdoor energie...
