start	end	text
160	1940	Nu kan de les beginnen.
2340	9280	Onze zon, een gewone ster, cirkelt in zo'n 230 miljoen jaar één keer rond het centrum van onze melkweg.
10040	16340	En daarmee cirkelt dus ook onze planeet aarde in diezelfde tijd eenmaal rond het centrum van onze melkweg.
16580	19860	Waar we dat superzware zwarte gat aantreffen, weet u nog?
21700	27360	De vorige keer dat we dus ongeveer hier ten opzichte van het centrum van de melkweg waren,
27360	30980	slenterden er nog dinosauriërs over het aardoppervlak.
32560	37800	Die periode heet het Mesozoicum, het tijdperk van het middenleven.
38700	42580	De Permtrias massa-extinctie hadden we gelukkig al achter de rug.
44560	49580	Afhankelijk van waar u woont, ziet u uit uw raam misschien een veelde aan planten en bomen.
49580	58620	Eiken, ypen, beuken, berken, varens, gras, klimop, Japanse duizendknoop, madeliefjes, krookense, appelbomen.
59240	64660	Maar 230 miljoen jaar geleden zou u voornamelijk varens en koniveren gezien hebben.
65300	68860	Wel vervelend als u destijds een hekel had aan koniveren.
68860	87560	Er zijn voorlopig geen aanwijzingen dat onze zon zal afwijken van die geduldige baan rond het centrum van onze melkweg.
88560	93920	En eerlijk gezegd zou het ook niet best zijn als we dat er nog eens als probleem bij zouden hebben op dit moment.
93920	95480	Daar zit je niet op te wachten.
95480	99620	Toch zijn er wel sterren die, ook al is het meestal niet vrijwillig,
99800	105460	dwars tegen alles ingaan en als een soort kosmische kogels door onze melkweg heen razen.
106540	109900	Onlangs werd er weer een aantal van dergelijke objecten gevonden.
111020	113620	Voordat we naar het hoe en wat daarvan gaan kijken,
113860	118900	is het misschien wel aardig te weten in hoeverre die vergelijking met een kogel hout snijdt.
119120	119760	Heel interessant.
119760	127480	Volgens medium.com schiet een gemiddelde kogel met 2736 kilometer per uur uit een pistool.
128360	132000	Dus dat is 0,76 kilometer per seconde.
132220	133960	Altijd nog sneller dan het geluid.
135300	140060	De snelste echt weggeschoten militaire kogel die ik op het internet kon vinden,
140280	142800	behaalde een snelheid van Mach 7.3.
143260	146360	Dus dat is bijna 2,5 kilometer per seconde.
146360	149920	De sterren waar ik het vandaag met u over wou hebben,
150100	153240	scheren daadwerkelijk een stukje sneller door onze melkweg.
154040	160340	De snelste van het stel schaes met 2.285 kilometer per seconde door onze melkweg.
160340	163700	Dus dat is duizend keer sneller dan de snelste kogel.
164460	168280	Een en ander kwam in juni van dit jaar in het nieuws op basis van het artikel
168280	174060	The Fastest Stars in the Galaxy van auteur Karim El Badri en collega's.
174060	180900	Zij vonden deze afwijkende sterren door een zoektocht in de catalogus van het Gaia ruimtevaartuig.
181600	187540	Ook u kunt deze catalogus gratis raadplegen en er zelfs ADQL statements op loslaten
187540	190200	en de resultaten downloaden naar uw computer.
190880	196420	Als u ooit SQL statements op een database heeft losgelaten, ziet u snel wat er mogelijk is.
197680	201540	En als u bij die laatste opmerking al afhaakt, niet getreurd.
201540	202540	Oh, bless je.
202740	209040	Er is ook de website ESA Sky, waar u in explorer-modus eindeloos kunt rondneuzen
209040	212040	in echte foto's die van de sterrenhemel zijn gemaakt
212040	217540	door allerlei verschillende ruimtevaartuigen of telescopen en op alle mogelijke frequentiebanden.
219620	220540	En in andere nieuws...
220540	225020	We worden door het huidige media-aanbod soms een beetje passief gemaakt.
226020	229780	Maar u bent nieuwsgierig genoeg om naar deze podcast te luisteren,
229880	234960	dus ook wellicht nieuwsgierig genoeg om zelf wat te gaan grasduinen in ESA Sky.
235880	241200	Wat houdt u bijvoorbeeld tegen om uw scholieren eens een project te laten doen via ESA Sky?
241900	247280	Laat ze in groepjes een object zoeken dat hen aanspreekt en er meer informatie over opzoeken.
247280	252140	Waar staat het aan de sterrenhemel? Zouden we het met het blote oog kunnen zien?
252780	256820	Wanneer is het ontdekt? Misschien kunnen ze er wel een spreekbeurt over houden.
257560	261660	Een link naar ESA Sky vindt u in de show notes van deze aflevering.
262520	266980	En mocht u daadwerkelijk een project met uw scholieren doen op basis van ESA Sky,
267200	269420	dan hoor ik natuurlijk graag hoe dat verlopen is.
269420	275380	Ik zit toevallig ook in de redactie van het kindertijdschrift over astronomie, de universum,
