start	end	text
0	5140	Don't worry, colonel. We'll blast those crooks right out of space.
5240	7360	U luistert naar Zimmerman & Space.
9700	13920	Als zwarte gaten bestaan, zijn er dan ook witte gaten.
15520	20860	Ik twijfelde al langere tijd of ik aandacht moest schenken aan het begrip witte gaten.
21100	21300	Oh?
21600	26600	De twijfel bestond uit de notie dat er nog nooit zoiets als een wit gat is waargenomen.
26600	31600	Het is, met andere woorden, uitsluitend een theoretisch concept.
31820	33600	Ja, dat klinkt niet lekker.
33720	40500	Dat zwarte gaten bestaan weten we inmiddels heel zeker, zonder dat we precies weten wat er gebeurt in zo'n zwart gat.
43080	48020	En toch waren ook zwarte gaten ooit alleen maar een theoretisch concept.
48020	55240	Zelfs beweerde Albert Einstein dat er nooit zoiets als een zwart gat in de praktijk voor zou kunnen komen...
55240	58020	...in zijn artikel uit 1939 met de titel...
58780	63740	On a stationary system with spherical symmetry consisting of many gravitating masses.
65640	70160	En er zijn serieuze wetenschappers die publiceren over witte gaten.
70160	77080	Dus laten we vandaag samen eens kijken wat er voor zinnigs en trouwens ook onzinnigs over te zeggen valt.
77300	77860	Dat is goed.
79040	82780	Allereerst natuurlijk de vraag, wat verstaan we onder een wit gat?
83020	84340	Nee, nee, ja, maar ik denk niet...
84340	86840	God, dat is wel een moeilijke vraag, hè. Die kan ik dan niet beantwoorden.
87060	90740	Zoals u wellicht weet kan niks ontsnappen uit een zwart gat.
91540	95160	Op vergelijkbare wijze kan niks binnenkomen in een wit gat.
95160	101600	Dit is een plek in het heelal waar alleen energie, massa en informatie uit kunnen komen.
106460	109580	Dat roept natuurlijk gelijk de vraag op...
109580	114300	Als er niks in kan komen, hoe kan er dan überhaupt ooit iets uitkomen?
114620	114980	Hmm.
115600	117160	Daar zullen we zo op ingaan.
117340	118260	Oh, gelukkig.
118620	121640	Astronomen en natuurkundigen vergelijken een wit gat...
121640	125300	met het achterstevoren afspelen van de tijd van een zwart gat.
126080	130980	Dus hier beginnen we met een zwart gat dat alle materie in de buurt opslokt...
130980	135160	en dat wat binnen de zwart shield radius terechtkomt nooit meer laat vertrekken.
135980	138640	En nu draaien we de tijd om...
138640	142940	En we hebben de omgekeerde situatie.
143940	148140	Een vergelijkbaar monster waar allemaal materie uit de voorschijn komt.
148140	155360	Een reden dat astronomen blijven theoretiseren over witte gaten...
155360	158480	is het feit dat deze objecten in principe niet worden uitgesloten...
159280	162620	door de natuurkundige vergelijkingen die opgaan voor dit heelal.
163660	166480	Het feit dat niks een wit gat binnen kan treden...
167140	171220	leidt wel tot gekke conclusies met betrekking tot oorzaak en gevolg.
171220	177440	Geen enkele gebeurtenis in het heelal kan invloed hebben op wat er in een wit gat gebeurt...
177440	182360	terwijl het witte gat zelf wel invloed heeft op de loop der dingen buiten het witte gat.
182500	184220	Wacht, spoel ze even terug, Hans.
184220	192440	Geen enkele gebeurtenis in het heelal kan invloed hebben op wat er in een wit gat gebeurt...
192440	197360	terwijl het witte gat zelf wel invloed heeft op de loop der dingen buiten het witte gat.
198480	204560	Dit gegeven alleen al vindt emeritus professor en zwarte gatpionier James Bardeen...
204560	207440	verontrustender dan de eigenschappen van een zwart gat.
208200	211440	In die zin is een zwart gat alleen maar de ultieme shredder.
211440	216540	Werp uw beschamende dagboek in een zwart gat...
216540	219400	en u weet zeker dat niemand het ooit zal lezen.
221840	222640	Tenminste...
222640	228860	We mijmerden eerder al dat het merkwaardig is dat een wit gat...
228860	232400	een klein punt in de ruimte waar niks toegang toe heeft...
232400	235400	in staat is allemaal materie naar buiten te spuwen.
236220	239360	Die materie moet toch ergens vandaan zijn gekomen?
239360	244040	Helemaal steekhoudend is die laatste bewering natuurlijk ook niet...
244040	247620	want dit hele helal waarin u nu naar dit verhaaltje luistert...
247620	250300	is toch ook ooit uit niets ontstaan, nietwaar?
252180	255020	Maar goed, laten we geen spelbrekers zijn...
255020	259360	en ons blijven afvragen waar de materie van een wit gat ooit vandaan is gestoden.
260040	261540	Eh, even kijken...
261540	263280	Aha, u bent mij al voor.
263960	266940	Een wit gat was misschien ooit wel een zwart gat.
268960	272800	Of misschien dacht u, en met u nog vele andere astronomen...
272800	276600	dat een wit gat een andere verschijningsvorm is van een zwart gat.
279160	283800	Wat aan de ene kant materie opslokt in de vorm van een zwart gat...
283800	287020	zou toch mooi aan de andere kant een wit gat kunnen zijn...
287020	289480	waar een en ander weer uit tevoorschijn komt.
292040	294720	Als we toch wild aan het fantaseren zijn...
294720	298720	dan noemen we de weg tussen een zwart gat en een wit gat een wormhole.
298860	300360	Eh, mag het in het Nederlands?
300520	302200	Een wormentunnel, zeg maar.
303100	306160	Een passage van dit helal naar een ander helal.
306160	312320	Dit idee werd ook geopperd door natuurkundige Roger Penrose.
313000	316000	Maar dit is alleen maar wilde speculatie, hè?
317260	320460	Zoals gezegd, een wit gat is nog nooit waargenomen.
321960	325160	Er zijn zelfs geen kandidaat witte gaten waargenomen.
325880	327160	We hebben geen kans nu.
328000	329280	Niet nu of niet.
329740	331320	Hoe zou zoiets eruit zien?
331320	335480	Volgens Carlo Rovelli, theoretisch natuurkundige...
335480	338540	aan het Centre de Fysique Theoriek in Frankrijk...
338540	340180	zouden we het vrij zeker weten...
340180	343540	als we materie tevoorschijn zouden zien schieten uit een punt.
345760	349000	Zo'n punt zou net als een zwart gat wel massa hebben...
349000	350540	maar negatieve massa.
351560	351920	Hmm.
353060	355920	Negatieve massa, bestaat er iets dergelijks?
356100	357620	Ja, dat is de vraag.
357820	359700	Het klinkt als het ideale dieet.
359700	363120	Maar als u er te veel van gebruikt, stijgt u vanzelf op.
364020	369060	Dat laatste idee schoot ook de Amerikaanse natuurkundige Robert Forward te binnen.
370280	374300	Negatieve massa leidt tot allerlei vreemde inconsistenties.
375260	377860	Zo zou een voorwerp met negatieve massa...
377860	381960	arbitrair en zonder toevoer van energie kunnen blijven versnellen.
382920	384680	Gratis aandrijving dus.
384680	388100	De natuurkundigen Bondi en Bonner...
388100	391100	zagen nog een moeilijk te verteren conclusie...
391100	393740	als we uitgaan van het bestaan van negatieve massa.
394620	397100	Zij deden het volgende gedachte-experiment.
398100	402000	Volgens het theoretische bouwwerk van zowel Newton als Einstein...
402000	406000	kunnen we zeggen dat twee objecten met positieve massa elkaar aantrekken.
406000	411280	Dat is waarom de maan om de aarde draait en de aarde om de zon.
413080	417280	Twee objecten met negatieve massa stoot elkaar dan per definitie af.
418000	422140	Maar wat gebeurt er als dergelijke objecten elkaar tegenkomen?
423140	426000	Een object met positieve massa heeft dan een aantrekkingskracht...
426000	429220	een aantrekkingskracht op zowel objecten met positieve...
429220	431040	als objecten met negatieve massa.
431500	431860	Oké.
432300	436860	En een object met negatieve massa stoot zowel objecten met positieve...
436860	438980	als objecten met negatieve massa af.
439300	440080	Oké.
440080	444080	Maar dat betekent dan dat we een perpetuum mobilee kunnen bouwen.
444180	445580	Het lijkt me dat je een andere keer hebt.
445960	447920	Hangt twee objecten naast elkaar.
448620	451820	Eén met positieve massa en één met negatieve massa.
451820	456660	De krachten die deze objecten uitoefenen wijzen dan dezelfde kant op.
457340	461680	Dat is de ultieme droom van mensen die afhaakten bij de natuurkunde op school.
462300	463480	Gratis energie.
466640	471620	Een paar jaar geleden verscheen er een artikel in de populair wetenschappelijke pers...
471620	475820	dat wetenschapper professor Peter Engels van de Washington State Universiteit...
476540	479560	in een experiment negatieve massa had gemeten.
479560	484640	Negative mass hydrodynamics in a spin orbit coupled Bose-Einstein condensate.
485120	490440	Engels en zijn team koelden rubidiumatomen af tot in de buurt van het absolute nulpunt.
491500	495560	Wanneer de rubidiumatomen uit deze toestand werden verlost met lasers...
496120	499320	vertoonden zij inderdaad een eigenschap van negatieve massa.
499580	500560	Dat kan je je toch niet voorstellen?
501380	504760	Wanneer er tegen zo'n rubidiumatom werd geduwd...
504760	508400	versneld het in de richting van de duwer in plaats van daarvandaan.
508400	513960	Maar de grote hmm in dit verhaal is dat we die atomen moeten duwen...
513960	516120	om dit effect überhaupt waar te kunnen nemen.
517880	522700	Dus dit is nog ver verwijderd van de droom van anti-zwaartekracht aanbreving.
523820	526440	Maar nog even terug naar onze witte gaten.
526440	532000	Als we een plek zouden kunnen aanwijzen waar veel energie vandaan stroomt...
532000	562000	
